Date,Mkt-RF,SMB,HML,RF
-1--2-91--,-0.39,0.09,0.06,0.02
-1--2-91--,0.1,-0.33,-0.23,0.02
-1--2-91--,1.14,-0.07,0.03,0.02
-1--3-91--,0.27,0.3,0.01,0.02
-1--3-91--,0.33,0.17,-0.02,0.02
-1--0-91--,0.0,0.33,-0.2,0.02
-1--0-91--,0.42,-0.08,0.12,0.02
-1--0-91--,-0.39,0.16,-0.04,0.02
-1--0-91--,-0.21,0.11,0.12,0.02
-1--0-91--,0.24,0.18,-0.2,0.02
-1--0-91--,-0.16,-0.03,0.04,0.02
-1--1-91--,-0.04,0.21,-0.28,0.02
-1--1-91--,0.64,-0.33,-0.25,0.02
-1--1-91--,-0.35,0.18,-0.14,0.02
-1--1-91--,-0.16,0.11,-0.12,0.02
-1--1-91--,-1.55,0.23,0.61,0.02
-1--1-91--,-0.5,-0.08,-0.43,0.02
-1--1-91--,-0.79,0.16,0.18,0.02
-1--2-91--,-0.31,0.14,-0.18,0.02
-1--2-91--,0.13,-0.06,-0.29,0.02
-1--2-91--,-0.32,0.13,-0.3,0.02
-1--2-91--,-0.03,-0.43,0.04,0.02
-1--2-91--,0.16,-0.63,0.07,0.02
-1--2-91--,-1.13,0.34,-0.14,0.02
-1--2-91--,-0.38,0.09,0.01,0.02
-1--2-91--,-0.44,0.14,-0.05,0.02
-1--0-91--,-0.32,0.02,-0.46,0.02
-1--0-91--,0.45,-0.43,-0.16,0.02
-1--0-91--,0.35,-0.13,-0.43,0.02
-1--0-91--,-0.17,0.36,-0.06,0.02
-1--0-91--,0.24,0.13,-0.28,0.02
-1--0-91--,-0.26,0.03,-0.27,0.02
-1--1-91--,-0.69,0.12,-0.3,0.02
-1--1-91--,-0.65,0.07,0.08,0.02
-1--1-91--,0.82,-0.54,0.18,0.02
-1--1-91--,1.39,-0.64,0.06,0.02
-1--1-91--,0.2,0.38,-0.27,0.02
-1--1-91--,-0.36,0.18,-0.22,0.02
-1--1-91--,-0.28,-0.01,-0.11,0.02
-1--1-91--,-0.83,0.45,0.01,0.02
-1--2-91--,0.25,-0.01,0.06,0.02
-1--2-91--,1.34,-0.49,-0.07,0.02
-1--2-91--,0.08,-0.04,0.32,0.02
-1--2-91--,0.87,-0.76,-0.03,0.02
-1--2-91--,0.91,-0.09,-0.21,0.02
-1--2-91--,0.39,0.11,-0.1,0.02
-1--3-91--,1.64,-0.7,-0.33,0.02
-1--3-91--,0.76,0.04,0.03,0.02
-0--0-92--,-0.02,0.0,0.0,0.01
-0--0-92--,0.05,-0.07,0.03,0.01
-0--0-92--,0.04,0.14,0.07,0.01
-0--0-92--,1.49,-0.25,0.18,0.01
-0--0-92--,-0.41,0.66,0.13,0.01
-0--0-92--,-1.01,1.26,-0.29,0.01
-0--0-92--,-0.3,-0.06,-0.09,0.01
-0--1-92--,-1.77,0.8,0.36,0.01
-0--1-92--,-0.55,0.77,-0.03,0.01
-0--1-92--,0.53,-0.31,0.09,0.01
-0--1-92--,-0.46,0.27,0.68,0.01
-0--1-92--,-0.18,0.34,1.09,0.01
-0--1-92--,0.33,0.38,0.04,0.01
-0--2-92--,0.31,-0.02,0.36,0.01
-0--2-92--,-0.18,-0.36,0.29,0.01
-0--2-92--,0.96,-0.48,-0.37,0.01
-0--2-92--,-0.53,0.21,0.13,0.01
-0--2-92--,-0.26,0.4,0.05,0.01
-0--2-92--,-0.9,0.16,0.41,0.01
-0--2-92--,0.38,-0.1,0.32,0.01
-0--2-92--,-0.35,0.22,0.06,0.01
-0--3-92--,-0.1,-0.12,-0.32,0.01
-0--3-92--,0.8,0.01,-0.11,0.01
-0--0-92--,0.18,0.32,-0.05,0.01
-0--0-92--,0.35,0.24,-0.07,0.01
-0--0-92--,0.23,0.33,-0.01,0.01
-0--0-92--,0.28,0.31,0.1,0.01
-0--0-92--,0.01,0.35,0.17,0.01
-0--1-92--,-0.61,0.1,0.18,0.01
-0--1-92--,-0.31,0.02,0.23,0.01
-0--1-92--,-0.46,0.45,-0.09,0.01
-0--1-92--,-0.7,0.14,0.25,0.01
-0--1-92--,-0.91,0.56,0.32,0.01
-0--1-92--,0.31,-0.35,0.06,0.01
-0--1-92--,-1.16,0.28,0.79,0.01
-0--1-92--,-0.5,0.03,0.4,0.01
-0--2-92--,0.58,-0.23,0.05,0.01
-0--2-92--,0.24,-0.24,-0.03,0.01
-0--2-92--,-0.2,-0.05,0.15,0.01
-0--2-92--,-0.27,-0.04,-0.2,0.01
-0--2-92--,0.87,-0.31,-0.56,0.01
-0--2-92--,0.21,0.25,0.09,0.01
-0--2-92--,0.01,0.14,0.08,0.01
-0--0-92--,-0.1,0.07,0.15,0.02
-0--0-92--,-0.78,0.26,0.12,0.02
-0--0-92--,-0.88,0.33,0.22,0.02
-0--0-92--,-0.73,0.09,-0.02,0.02
-0--0-92--,-0.34,0.1,-0.23,0.02
-0--0-92--,-0.2,0.03,0.12,0.02
-0--1-92--,-0.12,0.14,-0.1,0.02
-0--1-92--,-0.84,0.47,0.05,0.02
-0--1-92--,-0.71,0.08,-0.2,0.02
-0--1-92--,0.13,-0.08,0.12,0.02
-0--1-92--,-0.53,0.12,0.05,0.02
-0--1-92--,0.5,-0.14,0.12,0.02
-0--1-92--,-0.25,0.25,0.54,0.02
-0--1-92--,0.27,-0.67,0.38,0.02
-0--2-92--,-0.18,-0.02,0.11,0.02
-0--2-92--,0.06,-0.06,0.0,0.02
-0--2-92--,-0.42,-0.06,0.2,0.02
-0--2-92--,0.43,-0.21,0.23,0.02
-0--2-92--,-0.22,-0.13,0.1,0.02
-0--2-92--,-0.42,0.27,0.21,0.02
-0--3-92--,-0.17,-0.35,0.34,0.02
-0--3-92--,-0.1,0.29,0.16,0.02
-0--0-92--,-1.74,0.47,0.11,0.01
-0--0-92--,-0.91,0.24,0.36,0.01
-0--0-92--,0.27,-0.46,0.16,0.01
-0--0-92--,0.8,-0.53,0.01,0.01
-0--0-92--,-1.67,0.65,0.73,0.01
-0--0-92--,-1.83,0.45,0.06,0.01
-0--0-92--,0.57,0.03,-0.32,0.01
-0--1-92--,2.44,-1.75,0.0,0.01
-0--1-92--,-0.25,0.2,-0.32,0.01
-0--1-92--,1.27,-0.68,-0.13,0.01
-0--1-92--,0.9,-0.57,0.29,0.01
-0--1-92--,0.07,-0.09,0.49,0.01
-0--1-92--,-0.34,0.24,0.06,0.01
-0--2-92--,-1.25,0.29,0.75,0.01
-0--2-92--,-0.3,-0.07,0.39,0.01
-0--2-92--,0.15,-0.07,0.24,0.01
-0--2-92--,0.7,-0.66,0.12,0.01
-0--2-92--,0.04,0.36,0.21,0.01
-0--2-92--,0.29,-0.22,-0.01,0.01
-0--2-92--,-0.02,-0.35,0.22,0.01
-0--2-92--,0.36,0.06,-0.04,0.01
-0--3-92--,0.41,0.41,-0.36,0.01
-0--0-92--,0.1,0.46,-0.02,0.01
-0--0-92--,0.41,-0.15,-0.14,0.01
-0--0-92--,0.11,0.16,0.0,0.01
-0--0-92--,0.91,-0.31,-0.01,0.01
-0--0-92--,0.57,-0.36,0.21,0.01
-0--0-92--,-0.14,0.12,0.02,0.01
-0--1-92--,0.74,0.04,-0.05,0.01
-0--1-92--,0.56,0.26,0.08,0.01
-0--1-92--,0.38,-0.06,0.03,0.01
-0--1-92--,-0.34,0.28,0.2,0.01
-0--1-92--,-1.31,0.86,0.08,0.01
-0--1-92--,1.39,-0.77,-0.21,0.01
-0--1-92--,0.63,-0.45,-0.06,0.01
-0--2-92--,-0.09,0.03,0.1,0.01
-0--2-92--,-0.68,0.33,0.12,0.01
-0--2-92--,0.01,0.13,-0.01,0.01
-0--2-92--,0.39,-0.21,0.05,0.01
-0--2-92--,-0.46,0.43,0.19,0.01
-0--2-92--,-0.92,0.11,0.04,0.01
-0--2-92--,0.55,-0.42,-0.27,0.01
-0--2-92--,1.23,-0.33,0.3,0.01
-0--0-92--,-0.12,0.21,-0.21,0.01
-0--0-92--,-0.22,0.35,0.35,0.01
-0--0-92--,-0.12,0.0,0.17,0.01
-0--0-92--,-0.29,0.31,0.32,0.01
-0--0-92--,0.03,0.03,0.08,0.01
-0--0-92--,-0.44,-0.02,0.18,0.01
-0--0-92--,-0.37,-0.14,0.05,0.01
-0--1-92--,-0.38,-0.05,0.06,0.01
-0--1-92--,0.26,-0.37,-0.07,0.01
-0--1-92--,-0.24,0.31,-0.13,0.01
-0--1-92--,-0.51,0.17,0.02,0.01
-0--1-92--,0.05,-0.32,0.22,0.01
-0--1-92--,-1.59,0.32,0.12,0.01
-0--1-92--,-0.85,0.23,-0.09,0.01
-0--1-92--,0.72,-0.6,-0.09,0.01
-0--2-92--,-0.83,0.29,-0.15,0.01
-0--2-92--,0.26,-0.34,-0.02,0.01
-0--2-92--,-0.1,0.17,0.27,0.01
-0--2-92--,0.79,-0.6,0.27,0.01
-0--2-92--,-0.45,0.35,0.02,0.01
-0--2-92--,0.65,-0.12,-0.17,0.01
-0--3-92--,0.02,0.14,-0.09,0.01
-0--0-92--,0.9,-0.69,-0.24,0.01
-0--0-92--,0.67,-0.35,0.09,0.01
-0--0-92--,0.02,0.01,-0.01,0.01
-0--0-92--,-0.06,-0.11,-0.01,0.01
